MonthNum,WeekDayNum,DayNum,HourNum,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
2,0,1,22,0.027818305,0.028665112,0.008953073,-0.004449459,0.014134563,0.076267412,0.043340508,0.00230672,0.027381336
2,0,1,23,-0.033727672,-0.056442888,-0.013847718,-0.074238595,-0.076403227,-0.011057922,-0.054606686,-0.073616788,-0.05002966
2,1,1,0,-0.078568501,-0.070096227,-0.020154581,-0.055646339,-0.073860441,-0.066159292,-0.085335111,-0.063651865,-0.071398587
2,1,1,1,-0.1218923,-0.12117793,-0.037437391,-0.110439116,-0.148686041,-0.140377713,-0.149813943,-0.103592762,-0.129574341
2,1,1,2,-0.144666692,-0.166443205,-0.038305288,-0.139590861,-0.193449103,-0.186988187,-0.19852728,-0.137744247,-0.163932964
2,1,1,3,-0.146854601,-0.143992948,-0.039532157,-0.112297417,-0.166896056,-0.183025953,-0.179669415,-0.107727442,-0.15160945
2,1,1,4,-0.139776018,-0.131436519,-0.033691645,-0.099287723,-0.151963102,-0.182086914,-0.167948758,-0.093126573,-0.141118879
2,1,1,5,-0.135819779,-0.144240773,-0.029084093,-0.106835404,-0.165315979,-0.197188689,-0.183893336,-0.113175967,-0.147780667
2,1,1,6,-0.062099481,-0.042174166,-0.004756018,-0.024823105,-0.053088678,-0.111232386,-0.071824231,-0.021732565,-0.057081013
2,1,1,7,0.033782202,0.081499315,0.037161246,0.076588561,0.077532238,0.026729878,0.06289865,0.083907567,0.057772955
2,1,1,8,0.021205694,0.05832415,0.022014524,0.0605026,0.054851295,-0.008199189,0.038885519,0.050013195,0.036313466
2,1,1,9,0.054215238,0.098446156,0.033351407,0.087459253,0.087353639,0.031728334,0.07179195,0.084410149,0.068774907
2,1,1,10,0.064838528,0.080608535,0.023392183,0.068296512,0.067875968,0.033190077,0.051127284,0.055072486,0.059242216
2,1,1,11,0.047808202,0.034440929,-0.00073401,0.03916199,0.029582612,-0.00447455,0.007538051,-0.001914795,0.02587004
2,1,1,12,0.076736703,0.052178913,0.008721282,0.039112827,0.044299554,0.049140902,0.031295785,0.016757376,0.048756245
